"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","28-Nov-15","27-Nov-15","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",100,100,24.8,NA,NA,24.8,"SD1375"
"2","2","28-Nov-15","18-Nov-15","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",99,99,23.9,NA,NA,23.9,"SD1375"
"3","3","28-Nov-15","17-Nov-15","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",99,99,23.9,NA,NA,23.9,"SD1375"
"4","4*","09-Aug-12","09-Aug-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",76,76,3.5,NA,NA,3.5,"SD1375"
"5","5","07-Aug-12","07-Aug-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",79,79,6.1,NA,NA,6.1,"SD1375"
