"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","30-Sep-22","28-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,24.7,103,103,"27.7",NA,NA,"27.7","J019"
"2","2*","30-Sep-22","27-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,24.6,102,102,"26.8",NA,NA,"26.8","J019"
"3","3","26-Sep-22","20-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,24.6,103,103,"27.7",NA,NA,"27.7","J019"
"4","4*","23-Sep-22","18-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,25.2,95,95,"20.7",NA,NA,"20.7","J019"
"5","5","21-Sep-22","16-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,25,107,105,"29.4T",NA,NA,"29.4T","J019"
"6","6*","08-Sep-22","07-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,25.3,97,97,"22.4",NA,NA,"22.4","J019"
"7","7*","08-Sep-22","06-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,25,100,100,"25.1",NA,NA,"25.1","J019"
"8","8","07-Sep-22","03-Sep-22","LODHI COURSE MEN NEW - WHITE",71.4,129,25,102,102,"26.8",NA,NA,"26.8","J019"
"9","9*","30-Aug-22","20-Aug-22","LODHI COURSE MEN NEW - WHITE",71.4,129,24.9,100,100,"25.1",NA,NA,"25.1","J019"
"10","10*","30-Aug-22","19-Aug-22","LODHI COURSE MEN NEW - WHITE",71.4,129,24.4,100,100,"25.1",NA,NA,"25.1","J019"
"11","11","13-Aug-22","10-Aug-22","LODHI COURSE MEN NEW - WHITE",71.4,129,24.4,102,102,"26.8",NA,NA,"26.8","J019"
"12","12*","13-Aug-22","09-Aug-22","LODHI COURSE MEN NEW - WHITE",71.4,129,24.5,100,100,"25.1",NA,NA,"25.1","J019"
"13","13","12-Aug-22","06-Aug-22","LODHI COURSE MEN NEW - WHITE",70.6,122,24.5,101,101,"28.2",NA,NA,"28.2","J019"
"14","14","06-Aug-22","03-Aug-22","LODHI COURSE MEN NEW - WHITE",70.6,122,24.4,103,103,"30.0",NA,NA,"30.0","J019"
"15","15","31-Jul-22","30-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,24.2,102,102,"29.1",NA,NA,"29.1","J019"
"16","16*","28-Jul-22","26-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,24.4,97,97,"24.5",NA,NA,"24.5","J019"
"17","17","27-Jul-22","23-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,24.4,101,101,"28.2T",NA,NA,"28.2T","J019"
"18","18","19-Jul-22","16-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,24.4,104,104,"30.9",NA,NA,"30.9","J019"
"19","19*","19-Jul-22","13-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,24.4,99,99,"26.3",NA,NA,"26.3","J019"
"20","20*","12-Jul-22","09-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,24.4,99,99,"26.3",NA,NA,"26.3","J019"
