"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","14-Sep-22","10-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13.9,108,96,"19.6T",NA,NA,"19.6T","M563"
"2","2*","31-Aug-22","30-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13.7,90,89,"13.7",NA,NA,"13.7","M563"
"3","3","01-Sep-22","28-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,13.1,92,92,"16.2T",NA,NA,"16.2T","M563"
"4","4","27-Jul-22","24-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.1,94,94,"20.3T",NA,NA,"20.3T","M563"
"5","5*","16-Jul-22","10-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.1,89,89,"15.7",NA,NA,"15.7","M563"
"6","6","10-Jul-22","03-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13,91,91,"17.5",NA,NA,"17.5","M563"
"7","7","18-May-22","01-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12.6,98,98,"24.0",NA,NA,"24.0","M563"
"8","8*","22-Apr-22","15-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12.6,91,89,"15.7T",NA,NA,"15.7T","M563"
"9","9","19-Jun-21","11-Mar-21","LODHI COURSE MEN NEW - BLUE",72.1,122,12.6,100,96,"22.1T",NA,NA,"22.1T","M563"
"10","10*","19-Sep-20","12-Sep-20","LODHI COURSE MEN NEW - BLUE",72.1,122,12.4,88,88,"14.7T",NA,NA,"14.7T","M563"
"11","11*","06-Feb-20","26-Jan-20","DLF GOLF AND COUNTRY CLUB - Blue",71.3,129,12.7,85,85,"12.0",NA,NA,"12.0","M563"
"12","12*","11-Mar-19","03-Mar-19","Delhi Golf Course Mens-12 - Blue",72.1,127,12.6,87,87,"13.3",NA,NA,"13.3","M563"
"13","13*","25-Feb-19","24-Feb-19","Delhi Golf Course Mens-12 - Blue",72.1,127,12.6,89,89,"15.0",NA,NA,"15.0","M563"
"14","14","23-Feb-19","20-Feb-19","Delhi Golf Course Mens-12 - Blue",72.1,127,12.6,92,92,"17.7",NA,NA,"17.7","M563"
"15","15","20-Feb-19","07-Feb-19","Delhi Golf Course Mens-12 - Blue",72.1,127,12.3,96,96,"21.3",NA,NA,"21.3","M563"
"16","16*","06-Feb-19","31-Jan-19","Delhi Golf Course Mens-12 - Blue",72.1,127,12.2,89,89,"15.0",NA,NA,"15.0","M563"
"17","17*","05-Feb-19","26-Jan-19","Delhi Golf Course Mens-12 - Blue",72.1,127,12.3,88,88,"14.1",NA,NA,"14.1","M563"
"18","18*","31-Aug-18","26-Aug-18","J.P GREENS - BLACK",74.8,141,12.9,88,88,"10.6",NA,NA,"10.6","M563"
"19","19","27-Apr-18","25-Apr-18","Delhi Golf Course Mens-12 - Blue",72.1,127,12.6,93,92,"17.7",NA,NA,"17.7","M563"
"20","20","09-Dec-17","07-Dec-17","Delhi Golf Course Mens-12 - Blue",72.1,127,12.5,91,91,"16.8",NA,NA,"16.8","M563"
