"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","30-Sep-22","27-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"6.0",92,92,"16.2",NA,NA,"16.2","B640"
"2","2","23-Sep-22","17-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"6.0",92,92,"16.2",NA,NA,"16.2","B640"
"3","3","16-Sep-22","14-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"5.5",94,92,"16.2",NA,NA,"16.2","B640"
"4","4","15-Sep-22","10-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"5.5",92,92,"16.2",NA,NA,"16.2","B640"
"5","5","08-Sep-22","07-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"5.0",92,92,"16.2",NA,NA,"16.2","B640"
"6","6","01-Sep-22","26-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"5.0",92,92,"16.2T",NA,NA,"16.2T","B640"
"7","7","30-Aug-22","20-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"4.3",90,90,"14.5",NA,NA,"14.5","B640"
"8","8*","30-Aug-22","19-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"4.3",82,82,"7.7",NA,NA,"7.7","B640"
"9","9*","30-Aug-22","17-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"4.3",83,83,"8.6",NA,NA,"8.6","B640"
"10","10*","16-Aug-22","14-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"4.3",78,78,"4.3",NA,NA,"4.3","B640"
"11","11*","13-Aug-22","12-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"N/A",78,78,"4.3",NA,NA,"4.3","B640"
"12","12*","11-Aug-22","05-Aug-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",79,79,"6.4",NA,NA,"6.4","B640"
"13","13*","19-Jul-22","15-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",80,80,"7.3",NA,NA,"7.3","B640"
"14","14","30-Dec-21","22-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",95,95,"21.2",NA,NA,"21.2","B640"
"15","15","30-Dec-21","21-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",95,95,"21.2",NA,NA,"21.2","B640"
