"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","30-Jul-22","28-Jul-22","LODHI COURSE MEN NEW - WHITE",70.6,122,10.1,88,88,"16.1",NA,NA,"16.1","B189"
"2","2","28-Jul-22","26-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.7,88,88,"14.7",NA,NA,"14.7","B189"
"3","3","27-Jul-22","23-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.5,92,90,"16.6T",NA,NA,"16.6T","B189"
"4","4*","28-Jul-22","21-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.5,85,85,"11.9",NA,NA,"11.9","B189"
"5","5*","20-Jul-22","19-Jul-22","LODHI COURSE MENS NEW - BLACK",73.5,130,9.6,85,85,"10.0",NA,NA,"10.0","B189"
"6","6*","19-Jul-22","14-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.7,84,84,"11.0",NA,NA,"11.0","B189"
"7","7*","12-Jul-22","09-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.8,84,84,"11.0",NA,NA,"11.0","B189"
"8","8","13-Jul-22","01-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.8,88,88,"14.7",NA,NA,"14.7","B189"
"9","9","01-Jul-22","25-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.8,114,102,"27.7T",NA,NA,"27.7T","B189"
"10","10*","30-Jun-22","18-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10,84,84,"11.0",NA,NA,"11.0","B189"
"11","11*","11-Jun-22","09-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10.1,85,85,"11.9",NA,NA,"11.9","B189"
"12","12*","10-Jun-22","02-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10.3,85,85,"11.9",NA,NA,"11.9","B189"
"13","13","10-Jun-22","01-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10.3,87,87,"13.8",NA,NA,"13.8","B189"
"14","14","31-May-22","28-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10.3,98,90,"16.6T",NA,NA,"16.6T","B189"
"15","15*","30-May-22","26-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12,77,77,"4.5",NA,1,"3.5","B189"
"16","16","27-Apr-22","22-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.1,89,89,"15.7",NA,1,"14.7","B189"
"17","17*","22-Apr-22","16-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.3,86,85,"11.9T",NA,1,"10.9T","B189"
"18","18*","25-Apr-22","14-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.6,85,85,"11.9",NA,1,"10.9","B189"
"19","19","13-Apr-22","09-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.6,89,88,"14.7",NA,1,"13.7","B189"
"20","20","02-Apr-22","28-Mar-22","LODHI COURSE MEN NEW - BLUE",72.1,122,11.1,98,94,"20.3T",NA,1,"19.3T","B189"
