"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","09-Sep-22","09-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"9.6",88,88,12.8,NA,NA,12.8,"B610"
"2","2*","07-Sep-22","02-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"9.4",85,85,10.3,NA,NA,10.3,"B610"
"3","3","30-Aug-22","24-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"9.4",92,92,16.2,NA,NA,16.2,"B610"
"4","4","30-Aug-22","18-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"9.0",88,88,12.8,NA,NA,12.8,"B610"
"5","5","30-Aug-22","18-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"9.0",100,100,23,NA,NA,23,"B610"
"6","6","18-Aug-22","15-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"8.6",101,101,23.9,NA,NA,23.9,"B610"
"7","7*","30-Aug-22","12-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"8.6",84,84,9.4,NA,NA,9.4,"B610"
"8","8*","30-Aug-22","06-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"N/A",85,85,10.3,NA,NA,10.3,"B610"
"9","9*","30-Aug-22","04-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"N/A",83,83,8.6,NA,NA,8.6,"B610"
"10","10","28-Jul-22","22-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",106,106,31.4,NA,NA,31.4,"B610"
"11","11","19-Jul-22","15-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",103,103,28.6,NA,NA,28.6,"B610"
"12","12","09-Apr-22","01-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",100,100,25.8,NA,NA,25.8,"B610"
