"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","26-Sep-17","19-Sep-17","Delhi Golf Course Mens-12 - Blue",72.1,127,7.5,85,85,"11.5",NA,NA,"11.5","B566"
"2","2*","28-Oct-17","08-Sep-17","Delhi Golf Course Mens-12 - Blue",72.1,127,7.7,82,82,"8.8",NA,NA,"8.8","B566"
"3","3","08-Apr-17","07-Apr-17","Delhi Golf Course Mens-12 - Blue",72.1,127,7.5,90,90,"15.9",NA,NA,"15.9","B566"
"4","4","22-Mar-17","22-Mar-17","Delhi Golf Course Mens-12 - Blue",72.1,127,7,89,88,"14.1",NA,NA,"14.1","B566"
"5","5*","04-Mar-17","01-Mar-17","Delhi Golf Course Mens-12 - Blue",72.1,127,7.1,81,81,"7.9",NA,NA,"7.9","B566"
"6","6*","19-Feb-17","15-Feb-17","Delhi Golf Course Mens-12 - Blue",72.1,127,7.3,78,78,"5.2",NA,NA,"5.2","B566"
"7","7*","15-Feb-17","10-Feb-17","Delhi Golf Course Mens-12 - Blue",72.1,127,6.6,85,84,"10.6",NA,NA,"10.6","B566"
"8","8","15-Feb-17","08-Feb-17","Delhi Golf Course Mens-12 - Blue",72.1,127,6.6,85,85,"11.5",NA,NA,"11.5","B566"
"9","9*","23-Jan-17","18-Jan-17","Delhi Golf Course Mens-12 - Blue",72.1,127,6.5,83,83,"9.7",NA,NA,"9.7","B566"
"10","10*","06-Aug-15","04-Aug-15","Delhi Golf Course Mens-12 - Blue",72.1,127,6.3,82,82,"8.8",NA,NA,"8.8","B566"
"11","11","14-Mar-13","28-Feb-13","Delhi Golf Course Mens-12 - Blue",72.1,127,6.2,85,85,"11.5",NA,NA,"11.5","B566"
"12","12","30-Jan-13","30-Jan-13","Delhi Golf Course Mens-12 - Blue",72.1,127,6.2,84,84,"10.6",NA,NA,"10.6","B566"
"13","13*","19-Dec-12","19-Dec-12","Delhi Golf Course Mens-12 - Blue",72.1,127,6.3,79,79,"6.1",NA,NA,"6.1","B566"
"14","14","19-Dec-12","19-Dec-12","Delhi Golf Course Mens-12 - Blue",72.1,127,6.1,85,85,"11.5",NA,NA,"11.5","B566"
"15","15","08-Dec-12","07-Dec-12","Delhi Golf Course Mens-12 - Blue",72.1,127,6,84,84,"10.6",NA,NA,"10.6","B566"
"16","16*","03-Nov-12","02-Nov-12","Delhi Golf Course Mens-12 - Blue",72.1,127,6.2,79,79,"6.1",NA,NA,"6.1","B566"
"17","17","31-Oct-12","31-Oct-12","Delhi Golf Course Mens-12 - Blue",72.1,127,6.2,86,86,"12.4",NA,NA,"12.4","B566"
"18","18*","26-Oct-12","25-Oct-12","Delhi Golf Course Mens-12 - Blue",72.1,127,6.2,83,83,"9.7",NA,NA,"9.7","B566"
"19","19","21-Sep-12","21-Sep-12","Delhi Golf Course Mens-12 - Blue",72.1,127,6.2,84,84,"10.6T",NA,NA,"10.6T","B566"
"20","20*","14-Sep-12","14-Sep-12","Delhi Golf Course Mens-12 - Blue",72.1,127,6.4,78,78,"5.2",NA,NA,"5.2","B566"
