"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","17-May-13","17-May-13","Delhi Golf Course Mens-12 - White",70.6,123,18.2,92,92,"19.7T",NA,NA,"19.7T","A153"
"2","2","08-Apr-13","08-Apr-13","Delhi Golf Course Mens-12 - White",70.6,123,17.7,105,103,"29.8T",NA,NA,"29.8T","A153"
"3","3*","16-Mar-13","16-Mar-13","Delhi Golf Course Mens-12 - White",70.6,123,16.9,93,93,"20.6T",NA,NA,"20.6T","A153"
"4","4*","29-Dec-12","29-Dec-12","Delhi Golf Course Mens-12 - White",70.6,123,16.6,95,94,"21.5T",NA,NA,"21.5T","A153"
"5","5*","14-Dec-12","14-Dec-12","Delhi Golf Course Mens-12 - White",70.6,123,16.3,91,91,"18.7",NA,NA,"18.7","A153"
"6","6*","15-May-12","15-May-12","Delhi Golf Course Mens-12 - White",70.6,123,16.2,88,88,"16.0",NA,NA,"16.0","A153"
"7","7","16-May-12","13-May-12","Delhi Golf Course Mens-12 - White",70.6,123,15.9,95,95,"22.4",NA,NA,"22.4","A153"
"8","8","09-May-12","09-May-12","Delhi Golf Course Mens-12 - White",70.6,123,15.9,95,95,"22.4",NA,NA,"22.4","A153"
"9","9*","13-Apr-12","13-Apr-12","Delhi Golf Course Mens-12 - White",70.6,123,15.9,92,92,"19.7",NA,NA,"19.7","A153"
"10","10","07-Apr-12","07-Apr-12","Delhi Golf Course Mens-12 - White",70.6,123,15.9,95,94,"21.5T",NA,NA,"21.5T","A153"
"11","11","02-Apr-12","02-Apr-12","Delhi Golf Course Mens-12 - White",70.6,123,15.9,98,98,"25.2T",NA,NA,"25.2T","A153"
"12","12*","09-Mar-12","09-Mar-12","Delhi Golf Course Mens-12 - White",70.6,123,15.9,91,91,"18.7",NA,NA,"18.7","A153"
"13","13","04-Mar-12","04-Mar-12","Delhi Golf Course Mens-12 - White",70.6,123,15.6,94,94,"21.5",NA,NA,"21.5","A153"
"14","14","27-Jan-12","27-Jan-12","Delhi Golf Course Mens-12 - White",70.6,123,15.6,97,96,"23.3",NA,NA,"23.3","A153"
"15","15*","23-Jan-12","22-Jan-12","Delhi Golf Course Mens-12 - White",70.6,123,15.6,89,89,"16.9",NA,NA,"16.9","A153"
"16","16*","13-Jan-12","13-Jan-12","Delhi Golf Course Mens-12 - White",70.6,123,15.6,90,90,"17.8",NA,NA,"17.8","A153"
"17","17","09-Jan-12","09-Jan-12","Delhi Golf Course Mens-12 - White",70.6,123,15.5,97,96,"23.3T",NA,NA,"23.3T","A153"
"18","18","25-Nov-11","25-Nov-11","Delhi Golf Course Mens-12 - White",70.6,123,15.5,98,98,"25.2T",NA,NA,"25.2T","A153"
"19","19*","27-Apr-11","24-Apr-11","Delhi Golf Course Mens-12 - White",70.6,123,15.5,89,89,"16.9",NA,NA,"16.9","A153"
"20","20","19-Apr-11","19-Apr-11","Delhi Golf Course Mens-12 - White",70.6,123,15.5,98,97,"24.3T",NA,NA,"24.3T","A153"
