"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","06-Mar-18","28-Feb-18","Delhi Golf Course Mens-12 - Blue",72.1,127,"3.9",86,86,12.4,NA,NA,12.4,"B531"
"2","2","19-Mar-13","19-Mar-13","Delhi Golf Course Mens-12 - Blue",72.1,127,"3.9",79,79,6.1,NA,NA,6.1,"B531"
"3","3*","12-Mar-13","12-Mar-13","Delhi Golf Course Mens-12 - Blue",72.1,127,"3.6",78,78,5.2,NA,NA,5.2,"B531"
"4","4","26-Feb-13","26-Feb-13","Delhi Golf Course Mens-12 - Blue",72.1,127,"3.6",79,79,6.1,NA,NA,6.1,"B531"
"5","5*","19-Feb-13","19-Feb-13","Delhi Golf Course Mens-12 - Blue",72.1,127,"3.1",78,78,5.2,NA,NA,5.2,"B531"
"6","6","30-Jan-13","30-Jan-13","Delhi Golf Course Mens-12 - Blue",72.1,127,"3.1",79,79,6.1,NA,NA,6.1,"B531"
"7","7","26-Nov-07","25-Nov-07","Delhi  Golf Club  - Blue",72.1,127,"2.1",81,81,7.9,NA,NA,7.9,"B531"
"8","8","29-Jun-07","24-Jun-07","Delhi  Golf Club  - Blue",72.1,127,"2.1",79,79,6.1,NA,NA,6.1,"B531"
"9","9*","27-Sep-06","23-Sep-06","Delhi  Golf Club  - Blue",72.1,127,"1.7",78,78,5.2,NA,NA,5.2,"B531"
"10","10*","17-Sep-06","17-Sep-06","Delhi  Golf Club  - Blue",72.1,127,"1.7",78,78,5.2,NA,NA,5.2,"B531"
"11","11*","04-Sep-06","03-Sep-06","Delhi  Golf Club  - Blue",72.1,127,"N/A",75,75,2.6,NA,NA,2.6,"B531"
"12","12*","28-Aug-06","27-Aug-06","Delhi  Golf Club  - Blue",72.1,127,"N/A",74,74,1.7,NA,NA,1.7,"B531"
"13","13","19-Aug-06","06-Aug-06","Delhi  Golf Club  - Blue",72.1,127,"N/A",83,83,9.7,NA,NA,9.7,"B531"
"14","14","18-Jul-06","16-Jul-06","Delhi  Golf Club  - Blue",72.1,127,"N/A",80,80,7,NA,NA,7,"B531"
"15","15","18-Jul-06","02-Jul-06","Delhi  Golf Club  - Blue",72.1,127,"N/A",79,79,6.1,NA,NA,6.1,"B531"
