"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","31-Aug-22","21-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,"13.5",95,95,18.8,NA,NA,18.8,"B548"
"2","2*","16-Jun-22","12-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"13.5",91,91,17.5,NA,NA,17.5,"B548"
"3","3","14-Jan-22","02-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"13.5",94,94,20.3,NA,NA,20.3,"B548"
"4","4","24-Nov-21","21-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,"13.5",96,96,22.1,NA,NA,22.1,"B548"
"5","5*","23-Nov-21","19-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,"13.0",91,91,17.5,NA,NA,17.5,"B548"
"6","6","05-Jul-21","04-Jul-21","LODHI COURSE MEN NEW - BLUE",72.1,122,"12.5",97,97,23.1,NA,NA,23.1,"B548"
"7","7","04-Feb-20","19-Jan-20","LODHI COURSE MEN NEW - BLUE",72.1,122,"12.1",91,91,17.5,NA,NA,17.5,"B548"
"8","8","20-Dec-19","15-Dec-19","LODHI COURSE MEN NEW - BLUE",72.1,122,"11.7",91,91,17.5,NA,NA,17.5,"B548"
"9","9*","13-Dec-19","08-Dec-19","LODHI COURSE MEN NEW - BLUE",72.1,122,"11.7",88,88,14.7,NA,NA,14.7,"B548"
"10","10*","10-Apr-19","07-Apr-19","Delhi Golf Course Mens-12 - Blue",72.1,127,"11.1",89,89,15,NA,NA,15,"B548"
"11","11*","20-Nov-15","19-Nov-15","Delhi Golf Course Mens-12 - Blue",72.1,127,"11.6",86,86,12.4,NA,NA,12.4,"B548"
"12","12*","27-Mar-13","26-Mar-13","Delhi Golf Course Mens-12 - Blue",72.1,127,"11.0",88,88,14.1,NA,NA,14.1,"B548"
"13","13*","04-May-12","04-May-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"13.4",81,81,7.9,NA,NA,7.9,"B548"
"14","14*","26-Apr-12","26-Apr-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"14.4",84,84,10.6,NA,NA,10.6,"B548"
"15","15*","17-Mar-12","17-Mar-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"17.1",84,84,10.6,NA,NA,10.6,"B548"
"16","16*","30-Dec-11","30-Dec-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"18.1",89,89,15,NA,NA,15,"B548"
"17","17","04-Aug-11","04-Aug-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"18.1",93,93,18.6,NA,NA,18.6,"B548"
"18","18","01-Feb-11","01-Feb-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"17.7",94,94,19.5,NA,NA,19.5,"B548"
"19","19","29-Oct-10","28-Oct-10","Delhi Golf Course Mens-12 - Blue",72.1,127,"18.6",92,92,17.7,NA,NA,17.7,"B548"
"20","20","05-Aug-10","05-Aug-10","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",112,112,35.5,NA,NA,35.5,"B548"
