"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","13-Jan-12","12-Jan-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"15.0",98,98,23,NA,NA,23,"D194"
"2","2","13-Jan-12","11-Jan-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",101,101,25.7,NA,NA,25.7,"D194"
"3","3","10-Jan-12","10-Jan-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",104,104,28.4,NA,NA,28.4,"D194"
"4","4*","10-Jan-12","10-Jan-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",89,89,15,NA,NA,15,"D194"
"5","5","20-Jan-11","19-Jan-11","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",100,100,24.8,NA,NA,24.8,"D194"
"6","6","27-Dec-10","25-Dec-10","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",106,106,30.2,NA,NA,30.2,"D194"
