"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","25-Sep-18","22-Sep-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.2,87,87,"13.3T",NA,NA,"13.3T","G274"
"2","2","19-Aug-18","15-Aug-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.2,90,90,"15.9T",NA,NA,"15.9T","G274"
"3","3","12-Aug-18","11-Aug-18","Delhi Golf Course Mens-12 - Blue",72.1,127,13.1,90,90,"15.9",NA,NA,"15.9","G274"
"4","4","13-Apr-18","07-Apr-18","Delhi Golf Course Mens-12 - Blue",72.1,127,12.7,92,92,"17.7T",NA,NA,"17.7T","G274"
"5","5*","25-Sep-17","17-Sep-17","Delhi Golf Course Mens-12 - Blue",72.1,127,12.7,90,89,"15.0",NA,NA,"15.0","G274"
"6","6","23-Sep-17","16-Sep-17","Delhi Golf Course Mens-12 - Blue",72.1,127,12.7,107,107,"31.1T",NA,NA,"31.1T","G274"
"7","7","02-May-17","02-May-17","Delhi Golf Course Mens-12 - Blue",72.1,127,12.6,94,90,"15.9",NA,NA,"15.9","G274"
"8","8","24-Apr-17","22-Apr-17","Delhi Golf Course Mens-12 - Blue",72.1,127,12,105,97,"22.2T",NA,NA,"22.2T","G274"
"9","9*","16-Apr-17","16-Apr-17","Delhi Golf Course Mens-12 - Blue",72.1,127,11.4,89,89,"15.0",NA,NA,"15.0","G274"
"10","10*","12-Apr-17","12-Apr-17","Delhi Golf Course Mens-12 - Blue",72.1,127,11.5,87,87,"13.3",NA,NA,"13.3","G274"
"11","11*","21-Feb-17","17-Feb-17","Delhi Golf Course Mens-12 - Blue",72.1,127,11.9,84,84,"10.6T",NA,NA,"10.6T","G274"
"12","12","26-Dec-16","24-Dec-16","Delhi Golf Course Mens-12 - Blue",72.1,127,11.2,105,104,"28.4",NA,NA,"28.4","G274"
"13","13*","26-Sep-16","25-Sep-16","Delhi Golf Course Mens-12 - Blue",72.1,127,11.6,83,83,"9.7",NA,NA,"9.7","G274"
"14","14","25-Sep-16","24-Sep-16","Delhi Golf Course Mens-12 - Blue",72.1,127,11.6,89,89,"15.0",NA,NA,"15.0","G274"
"15","15*","17-Sep-16","15-Sep-16","Delhi Golf Course Mens-12 - Blue",72.1,127,11.5,88,88,"14.1",NA,NA,"14.1","G274"
"16","16*","15-Sep-16","13-Sep-16","Delhi Golf Course Mens-12 - Blue",72.1,127,11.7,86,86,"12.4",NA,NA,"12.4","G274"
"17","17*","12-Sep-16","11-Sep-16","Delhi Golf Course Mens-12 - Blue",72.1,127,11.1,87,87,"13.3",NA,NA,"13.3","G274"
"18","18*","12-Sep-16","10-Sep-16","Delhi Golf Course Mens-12 - Blue",72.1,127,11.1,88,88,"14.1",NA,NA,"14.1","G274"
"19","19","11-Sep-16","09-Sep-16","Delhi Golf Course Mens-12 - Blue",72.1,127,11,89,89,"15.0",NA,NA,"15.0","G274"
"20","20","09-Sep-16","06-Sep-16","Delhi Golf Course Mens-12 - Blue",72.1,127,10.8,96,95,"20.4",NA,NA,"20.4","G274"
