"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","23-Sep-22","18-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,9.4,86,86,"11.1",NA,NA,"11.1","K713"
"2","2","15-Sep-22","11-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,9.4,91,91,"15.4T",NA,NA,"15.4T","K713"
"3","3*","13-Aug-22","07-Aug-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.4,84,84,"11.0",NA,NA,"11.0","K713"
"4","4*","11-Aug-22","04-Aug-22","LODHI COURSE MEN NEW - BLUE",72.1,122,9.4,84,84,"11.0",NA,NA,"11.0","K713"
"5","5*","28-Jul-22","26-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.9,83,83,"10.1",NA,NA,"10.1","K713"
"6","6","30-Jun-22","26-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.7,89,89,"15.7T",NA,NA,"15.7T","K713"
"7","7*","30-Jun-22","19-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.7,82,82,"9.2",NA,NA,"9.2","K713"
"8","8*","26-May-22","25-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.8,83,83,"10.1",NA,NA,"10.1","K713"
"9","9","28-Apr-22","24-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.6,88,88,"14.7",NA,NA,"14.7","K713"
"10","10","22-Apr-22","15-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,8.6,87,87,"13.8T",NA,NA,"13.8T","K713"
"11","11","14-Jan-22","31-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,8.6,102,102,"27.7T",NA,NA,"27.7T","K713"
"12","12","01-Dec-19","30-Nov-19","LODHI COURSE MEN NEW - BLUE",72.1,122,8.6,101,101,"26.8T",NA,NA,"26.8T","K713"
"13","13*","10-Apr-19","07-Apr-19","Delhi Golf Course Mens-12 - Blue",72.1,127,8.7,82,82,"8.8",NA,NA,"8.8","K713"
"14","14*","05-Apr-19","30-Mar-19","Delhi Golf Course Mens-12 - Blue",72.1,127,8.8,82,82,"8.8",NA,NA,"8.8","K713"
"15","15*","11-Mar-19","03-Mar-19","Delhi Golf Course Mens-12 - Blue",72.1,127,9,82,82,"8.8",NA,NA,"8.8","K713"
"16","16","04-Feb-19","20-Jan-19","Delhi Golf Course Mens-12 - Blue",72.1,127,9,88,88,"14.1",NA,NA,"14.1","K713"
"17","17","28-Dec-18","28-Dec-18","Delhi Golf Course Mens-12 - Blue",72.1,127,8.9,87,87,"13.3",NA,NA,"13.3","K713"
"18","18","28-Dec-18","26-Dec-18","Delhi Golf Course Mens-12 - Blue",72.1,127,8.8,86,86,"12.4",NA,NA,"12.4","K713"
"19","19*","19-Dec-18","08-Dec-18","Delhi Golf Course Mens-12 - Blue",72.1,127,8.8,83,83,"9.7",NA,NA,"9.7","K713"
"20","20*","20-Aug-18","19-Aug-18","Delhi Golf Course Mens-12 - Blue",72.1,127,8.8,83,83,"9.7",NA,NA,"9.7","K713"
