"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","20-Mar-20","10-Mar-20","LODHI COURSE MEN NEW - BLUE",72.1,122,18.3,88,88,"14.7",NA,NA,"14.7","A018"
"2","2*","29-Feb-20","27-Feb-20","LODHI COURSE MEN NEW - BLUE",72.1,122,18.5,92,92,"18.4",NA,NA,"18.4","A018"
"3","3*","20-Feb-20","12-Feb-20","LODHI COURSE MEN NEW - WHITE",70.6,122,18.6,92,92,"19.8",NA,NA,"19.8","A018"
"4","4","25-Sep-18","22-Sep-18","Delhi Golf Course Mens-12 - Blue",72.1,127,18.6,132,123,"45.3T",NA,NA,"45.3T","A018"
"5","5","05-Aug-18","04-Aug-18","Delhi Golf Course Mens-12 - Blue",72.1,127,18.6,103,103,"27.5",NA,NA,"27.5","A018"
"6","6*","19-Jan-18","10-Jan-18","Delhi Golf Course Mens-12 - Blue",72.1,127,18.4,92,92,"17.7",NA,NA,"17.7","A018"
"7","7","06-Dec-17","03-Dec-17","Delhi Golf Course Mens-12 - Blue",72.1,127,18.3,98,98,"23.0",NA,NA,"23.0","A018"
"8","8","19-Jun-17","18-Jun-17","Delhi Golf Course Mens-12 - Blue",72.1,127,18.3,129,120,"42.6T",NA,NA,"42.6T","A018"
"9","9*","02-Nov-16","01-Nov-16","Delhi Golf Course Mens-12 - Blue",72.1,127,18.4,94,94,"19.5",NA,NA,"19.5","A018"
"10","10","09-Sep-16","06-Sep-16","Delhi Golf Course Mens-12 - Blue",72.1,127,18.1,95,95,"20.4",NA,NA,"20.4","A018"
"11","11*","19-Aug-16","17-Aug-16","Delhi Golf Course Mens-12 - Blue",72.1,127,18,93,93,"18.6",NA,NA,"18.6","A018"
"12","12*","19-Aug-16","14-Aug-16","Delhi Golf Course Mens-12 - Blue",72.1,127,18.1,94,94,"19.5",NA,NA,"19.5","A018"
"13","13*","10-Jul-16","08-Jul-16","Delhi Golf Course Mens-12 - Blue",72.1,127,18,94,94,"19.5",NA,NA,"19.5","A018"
"14","14","05-Jul-16","05-Jul-16","Delhi Golf Course Mens-12 - Blue",72.1,127,17.3,97,97,"22.2",NA,NA,"22.2","A018"
"15","15","11-Jun-16","09-Jun-16","Delhi Golf Course Mens-12 - Blue",72.1,127,16.7,99,99,"23.9",NA,NA,"23.9","A018"
"16","16*","10-Jun-16","07-Jun-16","Delhi Golf Course Mens-12 - Blue",72.1,127,16.6,92,92,"17.7",NA,NA,"17.7","A018"
"17","17","10-Jun-16","03-Jun-16","Delhi Golf Course Mens-12 - Blue",72.1,127,16.6,95,95,"20.4",NA,NA,"20.4","A018"
"18","18","02-Jun-16","24-May-16","Delhi Golf Course Mens-12 - Blue",72.1,127,16.4,95,95,"20.4",NA,NA,"20.4","A018"
"19","19","11-Dec-14","07-Dec-14","Delhi Golf Course Mens-12 - Blue",72.1,127,16.4,95,95,"20.4",NA,NA,"20.4","A018"
"20","20*","30-Nov-14","29-Nov-14","Delhi Golf Course Mens-12 - Blue",72.1,127,16.6,92,92,"17.7",NA,NA,"17.7","A018"
