"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","26-May-22","25-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"4.5",80,80,7.3,NA,NA,7.3,"SD990S"
"2","2","19-May-22","07-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",87,87,13.8,NA,NA,13.8,"SD990S"
"3","3*","18-May-22","23-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",77,77,4.5,NA,NA,4.5,"SD990S"
"4","4","13-Apr-22","08-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",82,82,9.2,NA,NA,9.2,"SD990S"
"5","5","19-Feb-22","12-Feb-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",79,79,6.4,NA,NA,6.4,"SD990S"
"6","6","30-Aug-21","28-Aug-21","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",86,86,12.9,NA,NA,12.9,"SD990S"
