"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","15-Sep-22","10-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,18.5,98,98,"21.3",NA,NA,"21.3","K727S"
"2","2","14-Sep-22","10-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,16.7,121,112,"33.2T",NA,NA,"33.2T","K727S"
"3","3*","14-Jul-22","03-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,15.4,95,95,"21.2",NA,NA,"21.2","K727S"
"4","4","31-May-22","28-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,13.6,122,104,"29.5T",NA,NA,"29.5T","K727S"
"5","5","21-Apr-22","15-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,12.3,122,104,"29.5T",NA,NA,"29.5T","K727S"
"6","6","02-Apr-22","28-Mar-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10.4,122,104,"29.5T",NA,NA,"29.5T","K727S"
"7","7*","23-Feb-22","20-Feb-22","LODHI COURSE MEN NEW - BLUE",72.1,122,10.3,84,84,"11.0",NA,NA,"11.0","K727S"
"8","8","03-Oct-21","25-Sep-21","LODHI COURSE MEN NEW - BLUE",72.1,122,9.8,122,104,"29.5T",NA,NA,"29.5T","K727S"
"9","9","26-Aug-21","14-Aug-21","LODHI COURSE MEN NEW - BLUE",72.1,122,9.6,123,105,"30.5T",NA,NA,"30.5T","K727S"
"10","10","29-Jul-21","24-Jul-21","LODHI COURSE MEN NEW - BLUE",72.1,122,9.5,122,104,"29.5T",NA,NA,"29.5T","K727S"
"11","11*","20-Jul-21","18-Jul-21","LODHI COURSE MEN NEW - BLUE",72.1,122,9.6,82,82,"9.2",NA,NA,"9.2","K727S"
"12","12*","16-Apr-21","11-Apr-21","LODHI COURSE MEN NEW - BLUE",72.1,122,9.6,83,83,"10.1",NA,NA,"10.1","K727S"
"13","13*","30-May-21","10-Apr-21","LODHI COURSE MEN NEW - BLUE",72.1,122,9.6,83,83,"10.1T",NA,NA,"10.1T","K727S"
"14","14*","19-Jan-19","19-Jan-19","Delhi Golf Course Mens-12 - Blue",72.1,127,9.5,123,105,"29.3T",NA,NA,"29.3T","K727S"
"15","15*","28-Dec-18","15-Dec-18","Delhi Golf Course Mens-12 - Blue",72.1,127,9.5,123,105,"29.3T",NA,NA,"29.3T","K727S"
"16","16","19-Aug-18","15-Aug-18","Delhi Golf Course Mens-12 - Blue",72.1,127,9.5,123,105,"29.3T",NA,NA,"29.3T","K727S"
"17","17*","14-Jul-18","12-Jul-18","Delhi Golf Course Mens-12 - Blue",72.1,127,9.5,122,104,"28.4T",NA,NA,"28.4T","K727S"
"18","18","28-Nov-17","26-Nov-17","Delhi Golf Course Mens-12 - Blue",72.1,127,9.4,124,106,"30.2T",NA,NA,"30.2T","K727S"
"19","19","15-Nov-17","12-Nov-17","Delhi Golf Course Mens-12 - Blue",72.1,127,9.4,123,105,"29.3T",NA,NA,"29.3T","K727S"
"20","20*","25-Sep-17","16-Sep-17","Delhi Golf Course Mens-12 - Blue",72.1,127,9.4,122,104,"28.4T",NA,NA,"28.4T","K727S"
