"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","29-May-13","02-Mar-13","ROKERS GOLF CLUB - W YARD",69,113,"15.0",85,85,16,NA,NA,16,"SD1319"
"2","2","22-Apr-13","17-Feb-13","ROKERS GOLF CLUB - W YARD",69,113,"15.0",86,86,17,NA,NA,17,"SD1319"
"3","3*","29-May-13","15-Feb-13","ROKERS GOLF CLUB - W YARD",69,113,"15.0",84,84,15,NA,NA,15,"SD1319"
"4","4*","23-Apr-13","02-Feb-13","MITCHAM GOLF CLUB - W YARD",69,113,"N/A",84,84,15,NA,NA,15,"SD1319"
"5","5","23-Apr-13","28-Jan-13","MITCHAM GOLF CLUB - W YARD",69,113,"N/A",88,88,19,NA,NA,19,"SD1319"
"6","6","22-Apr-13","09-Jan-13","ROKERS GOLF CLUB - W YARD",69,113,"N/A",87,87,18,NA,NA,18,"SD1319"
"7","7","22-Apr-13","07-Dec-12","SELSDON PARK GOLF CLUB - W YARD",73,113,"N/A",91,91,18,NA,NA,18,"SD1319"
"8","8","22-Apr-13","01-Dec-12","SELSDON PARK GOLF CLUB - W YARD",73,113,"N/A",91,91,18,NA,NA,18,"SD1319"
