"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","09-Feb-22","01-Feb-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"1.0",92,92,"18.4",NA,NA,"18.4","O028"
"2","2*","31-Jan-22","30-Jan-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"1.0",83,83,"10.1",NA,NA,"10.1","O028"
"3","3","30-May-21","08-Apr-21","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",103,103,"28.6T",NA,NA,"28.6T","O028"
"4","4","12-Apr-21","21-Mar-21","JAYPEE GREENS W.T. NOIDA - White",67,113,"N/A",88,88,"21.0",NA,NA,"21.0","O028"
"5","5*","15-Jun-19","01-Jun-19","BATCHWORTH PARK LONDON - White",72,113,"N/A",73,73,"1.0",NA,NA,"1.0","O028"
"6","6","18-Jun-19","13-May-19","FINCA CORTESIN GOLF CLUB - Black",75.3,123,"N/A",104,104,"26.4",NA,NA,"26.4","O028"
"7","7","17-Jun-19","11-May-19","La RESERVA CLUB SOTOGRAND - White",70,113,"N/A",82,82,"12.0",NA,NA,"12.0","O028"
