"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","20-Sep-22","16-Sep-22","LODHI COURSE MEN NEW - BLUE",72.9,133,16.5,115,105,"27.3T",NA,NA,"27.3T","M290"
"2","2*","31-Aug-22","30-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,16.4,94,94,"17.9",NA,NA,"17.9","M290"
"3","3*","31-Aug-22","26-Aug-22","LODHI COURSE MEN NEW - WHITE",71.4,129,16.9,88,88,"14.5",NA,NA,"14.5","M290"
"4","4","30-Aug-22","19-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,16.7,96,96,"19.6",NA,NA,"19.6","M290"
"5","5*","25-Aug-22","17-Aug-22","LODHI COURSE MEN NEW - BLUE",72.9,133,17.5,86,86,"11.1",NA,NA,"11.1","M290"
"6","6","06-Aug-22","03-Aug-22","LODHI COURSE MEN NEW - BLUE",72.1,122,17.2,94,94,"20.3",NA,NA,"20.3","M290"
"7","7*","19-Feb-22","18-Feb-22","LODHI COURSE MEN NEW - BLUE",72.1,122,17.5,89,89,"15.7",NA,NA,"15.7","M290"
"8","8*","12-Feb-22","11-Feb-22","LODHI COURSE MEN NEW - BLUE",72.1,122,17.7,90,90,"16.6",NA,NA,"16.6","M290"
"9","9","14-Jan-22","31-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,17.5,95,94,"20.3T",NA,NA,"20.3T","M290"
"10","10*","20-Dec-21","15-Dec-21","LODHI COURSE MEN NEW - WHITE",70.6,122,17.1,91,91,"18.9",NA,NA,"18.9","M290"
"11","11","11-Dec-21","07-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,16.7,95,95,"21.2",NA,NA,"21.2","M290"
"12","12","08-Dec-21","01-Dec-21","LODHI COURSE MEN NEW - BLUE",72.1,122,16.5,94,94,"20.3",NA,NA,"20.3","M290"
"13","13","25-Nov-21","24-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,16.3,95,95,"21.2",NA,NA,"21.2","M290"
"14","14*","22-Nov-21","18-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,16.1,92,92,"18.4",NA,NA,"18.4","M290"
"15","15*","01-Dec-21","17-Nov-21","LODHI COURSE MEN NEW - WHITE",70.6,122,16.1,89,89,"17.0",NA,NA,"17.0","M290"
"16","16*","17-Nov-21","16-Nov-21","LODHI COURSE MEN NEW - WHITE",70.6,122,16.1,91,91,"18.9",NA,NA,"18.9","M290"
"17","17","16-Nov-21","13-Nov-21","LODHI COURSE MEN NEW - WHITE",70.6,122,15.9,93,93,"20.7",NA,NA,"20.7","M290"
"18","18*","10-Nov-21","05-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,16,90,90,"16.6",NA,NA,"16.6","M290"
"19","19","09-Nov-21","03-Nov-21","LODHI COURSE MEN NEW - WHITE",70.6,122,16,95,95,"22.6",NA,NA,"22.6","M290"
"20","20","01-Nov-21","29-Oct-21","LODHI COURSE MEN NEW - BLUE",72.1,122,16,94,94,"20.3",NA,NA,"20.3","M290"
