"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","12-Sep-06","30-Jul-06","JURONG COUNTRY CLUB - BLUE",71.7,127,"N/A",91,91,17.2,NA,NA,17.2,"SL103"
"2","2","12-Sep-06","26-Jul-06","JURONG COUNTRY CLUB - BLUE",71.7,127,"N/A",93,93,19,NA,NA,19,"SL103"
"3","3","12-Sep-06","23-Jul-06","JURONG COUNTRY CLUB - BLUE",71.7,127,"N/A",92,92,18.1,NA,NA,18.1,"SL103"
"4","4","12-Sep-06","06-Jul-06","RIA BINTAN GOLF CLUB - BLUE",71.5,131,"N/A",92,92,17.7,NA,NA,17.7,"SL103"
"5","5*","12-Sep-06","04-Jul-06","RIA BINTAN GOLF CLUB - BLUE",71.5,131,"N/A",90,90,16,NA,NA,16,"SL103"
