"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","14-May-20","19-Mar-20","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",84,84,10.6,NA,NA,10.6,"C354"
"2","2","11-Oct-17","08-Oct-17","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",88,88,14.1,NA,NA,14.1,"C354"
"3","3","18-Oct-15","17-Oct-15","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",97,97,22.2,NA,NA,22.2,"C354"
"4","4","16-Jan-13","16-Jan-13","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",92,92,17.7,NA,NA,17.7,"C354"
"5","5*","29-Nov-12","27-Nov-12","Delhi Golf Course Mens-12 - Blue",72.1,127,"N/A",82,82,8.8,NA,NA,8.8,"C354"
