"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","15-Sep-22","09-Sep-22","LODHI COURSE MENS NEW - BLACK",73.8,136,6.6,85,85,"9.3T",NA,NA,"9.3T","SD1021"
"2","2*","07-Sep-22","02-Sep-22","LODHI COURSE MENS NEW - BLACK",73.8,136,7.2,79,79,"4.3",NA,NA,"4.3","SD1021"
"3","3*","01-Sep-22","26-Aug-22","LODHI COURSE MENS NEW - BLACK",73.8,136,7.9,78,78,"3.5T",NA,NA,"3.5T","SD1021"
"4","4","25-Aug-22","17-Aug-22","LODHI COURSE MENS NEW - BLACK",73.8,136,7.9,88,88,"11.8",NA,NA,"11.8","SD1021"
"5","5*","29-Jul-22","28-Jul-22","LODHI COURSE MENS NEW - BLACK",73.5,130,7.8,83,83,"8.3",NA,NA,"8.3","SD1021"
"6","6","29-Jul-22","27-Jul-22","LODHI COURSE MENS NEW - BLACK",73.5,130,7.9,86,85,"10.0",NA,NA,"10.0","SD1021"
"7","7","28-Jul-22","26-Jul-22","LODHI COURSE MENS NEW - BLACK",73.5,130,7.5,87,86,"10.9",NA,NA,"10.9","SD1021"
"8","8*","27-Jul-22","22-Jul-22","LODHI COURSE MENS NEW - BLACK",73.5,130,7.2,81,80,"5.7T",NA,NA,"5.7T","SD1021"
"9","9","19-Jul-22","16-Jul-22","LODHI COURSE MENS NEW - BLACK",73.5,130,7.1,91,89,"13.5",NA,NA,"13.5","SD1021"
"10","10","19-Jul-22","12-Jul-22","LODHI COURSE MENS NEW - BLACK",73.5,130,6.4,90,89,"13.5",NA,NA,"13.5","SD1021"
"11","11","16-Jul-22","07-Jul-22","LODHI COURSE MENS NEW - BLACK",73.5,130,6,92,89,"13.5",NA,NA,"13.5","SD1021"
"12","12","18-Jul-22","29-May-22","LODHI COURSE MENS NEW - BLACK",73.5,130,5.7,90,90,"14.3",NA,NA,"14.3","SD1021"
"13","13","22-Apr-22","14-Apr-22","LODHI COURSE MENS NEW - BLACK",73.5,130,5.7,85,85,"10.0T",NA,NA,"10.0T","SD1021"
"14","14","01-Apr-22","28-Mar-22","LODHI COURSE MENS NEW - BLACK",73.5,130,5.7,87,85,"10.0T",NA,NA,"10.0T","SD1021"
"15","15*","11-Mar-22","04-Mar-22","LODHI COURSE MENS NEW - BLACK",73.5,130,5.7,86,84,"9.1",NA,NA,"9.1","SD1021"
"16","16*","25-Feb-22","20-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,5.6,84,84,"9.1T",NA,NA,"9.1T","SD1021"
"17","17*","25-Feb-22","19-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,5.7,82,81,"6.5T",NA,NA,"6.5T","SD1021"
"18","18*","25-Feb-22","18-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,6.2,75,75,"1.3T",NA,NA,"1.3T","SD1021"
"19","19","12-Feb-22","11-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,5.7,87,87,"11.7",NA,NA,"11.7","SD1021"
"20","20*","11-Feb-22","09-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,5.2,85,84,"9.1",NA,NA,"9.1","SD1021"
