"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","02-Apr-22","31-Mar-22","LODHI COURSE MENS NEW - BLACK",73.5,130,2.6,76,76,"2.2",NA,NA,"2.2","J122"
"2","2","11-Mar-22","05-Mar-22","LODHI COURSE MENS NEW - BLACK",73.5,130,2.8,76,76,"2.2",NA,NA,"2.2","J122"
"3","3*","10-Mar-22","02-Mar-22","LODHI COURSE MENS NEW - BLACK",73.5,130,2.8,72,72,"-1.3",NA,NA,"-1.3","J122"
"4","4*","01-Mar-22","27-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,2.5,69,69,"-3.9",NA,NA,"-3.9","J122"
"5","5*","10-Feb-22","03-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,2.4,71,71,"-2.2",NA,NA,"-2.2","J122"
"6","6*","09-Feb-22","02-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,2.5,72,72,"-1.3",NA,NA,"-1.3","J122"
"7","7*","03-Oct-21","25-Sep-21","LODHI COURSE MENS NEW - BLACK",73.5,130,2.3,71,71,"-2.2T",NA,NA,"-2.2T","J122"
"8","8*","25-Aug-21","15-Aug-21","LODHI COURSE MENS NEW - BLACK",73.5,130,2.2,72,72,"-1.3T",NA,NA,"-1.3T","J122"
"9","9*","29-Jul-21","24-Jul-21","LODHI COURSE MEN NEW - BLUE",72.1,122,1.9,69,69,"-2.9T",NA,NA,"-2.9T","J122"
"10","10","09-Feb-21","06-Feb-21","LODHI COURSE MENS NEW - BLACK",73.5,130,1.9,74,74,"0.4",NA,NA,"0.4","J122"
"11","11","31-Jan-21","26-Jan-21","LODHI COURSE MENS NEW - BLACK",73.5,130,1.9,77,77,"3.0",NA,NA,"3.0","J122"
"12","12","18-Jan-21","16-Jan-21","LODHI COURSE MENS NEW - BLACK",73.5,130,2.1,77,77,"3.0",NA,NA,"3.0","J122"
"13","13*","11-Jan-21","09-Jan-21","LODHI COURSE MENS NEW - BLACK",73.5,130,2.1,73,73,"-0.4",NA,NA,"-0.4","J122"
"14","14","11-Jan-21","02-Jan-21","LODHI COURSE MENS NEW - BLACK",73.5,130,2.3,76,76,"2.2",NA,NA,"2.2","J122"
"15","15","01-Jan-21","26-Dec-20","LODHI COURSE MENS NEW - BLACK",73.5,130,2.5,74,74,"0.4",NA,NA,"0.4","J122"
"16","16","28-Nov-20","22-Nov-20","LODHI COURSE MENS NEW - BLACK",73.5,130,2.6,73,73,"-0.4",NA,NA,"-0.4","J122"
"17","17*","28-Nov-20","21-Nov-20","LODHI COURSE MENS NEW - BLACK",73.5,130,2.2,68,68,"-4.8",NA,NA,"-4.8","J122"
"18","18","27-Oct-20","24-Oct-20","LODHI COURSE MENS NEW - BLACK",73.5,130,2.2,74,74,"0.4",NA,NA,"0.4","J122"
"19","19","19-Oct-20","18-Oct-20","LODHI COURSE MENS NEW - BLACK",73.5,130,2.3,73,73,"-0.4",NA,NA,"-0.4","J122"
"20","20*","19-Oct-20","17-Oct-20","LODHI COURSE MENS NEW - BLACK",73.5,130,1.9,69,69,"-3.9",NA,NA,"-3.9","J122"
