"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","31-Jul-22","31-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",86,86,"12.9",NA,NA,"12.9","SD1445"
"2","2","19-Jul-22","17-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",87,87,"13.8",NA,NA,"13.8","SD1445"
"3","3","25-Feb-22","19-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,"N/A",95,95,"18.7T",NA,NA,"18.7T","SD1445"
"4","4","25-Feb-22","18-Feb-22","LODHI COURSE MENS NEW - BLACK",73.5,130,"N/A",98,98,"21.3T",NA,NA,"21.3T","SD1445"
"5","5","03-Oct-21","25-Sep-21","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",90,90,"16.6T",NA,NA,"16.6T","SD1445"
