"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1*","19-Feb-04","31-Mar-03","Delhi  Golf Club  - Blue",72.1,127,10.9,83,83,9.7,NA,NA,9.7,"B297"
"2","2*","19-Feb-04","05-Mar-03","Delhi  Golf Club  - Blue",72.1,127,10.9,84,84,10.6,NA,NA,10.6,"B297"
"3","3*","19-Feb-04","04-Mar-03","Delhi  Golf Club  - Blue",72.1,127,10.7,86,86,12.4,NA,NA,12.4,"B297"
"4","4*","19-Feb-04","27-Feb-03","Delhi  Golf Club  - Blue",72.1,127,10.9,83,83,9.7,NA,NA,9.7,"B297"
"5","5*","19-Feb-04","13-Feb-03","Delhi  Golf Club  - Blue",72.1,127,11.3,83,83,9.7,NA,NA,9.7,"B297"
"6","6","19-Feb-04","30-Jan-03","Delhi  Golf Club  - Blue",72.1,127,11.1,86,86,12.4,NA,NA,12.4,"B297"
"7","7*","19-Feb-04","20-Dec-02","Delhi  Golf Club  - Blue",72.1,127,11.3,85,85,11.5,NA,NA,11.5,"B297"
"8","8*","19-Feb-04","18-Dec-02","Delhi  Golf Club  - Blue",72.1,127,11.2,85,85,11.5,NA,NA,11.5,"B297"
"9","9","19-Feb-04","11-Dec-02","Delhi  Golf Club  - Blue",72.1,127,11.2,86,86,12.4,NA,NA,12.4,"B297"
"10","10*","19-Feb-04","22-Nov-02","Delhi  Golf Club  - Blue",72.1,127,11.5,84,84,10.6,NA,NA,10.6,"B297"
"11","11","19-Feb-04","20-Nov-02","Delhi  Golf Club  - Blue",72.1,127,11.5,89,89,15,NA,NA,15,"B297"
"12","12","19-Feb-04","03-Oct-02","Delhi  Golf Club  - Blue",72.1,127,11,86,86,12.4,NA,NA,12.4,"B297"
"13","13","19-Feb-04","05-Sep-02","Delhi  Golf Club  - Blue",72.1,127,11,86,86,12.4,NA,NA,12.4,"B297"
"14","14*","19-Feb-04","29-Aug-02","Delhi  Golf Club  - Blue",72.1,127,10.6,85,85,11.5,NA,NA,11.5,"B297"
"15","15","19-Feb-04","27-Aug-02","Delhi  Golf Club  - Blue",72.1,127,10.6,87,87,13.3,NA,NA,13.3,"B297"
"16","16","19-Feb-04","14-Aug-02","Delhi  Golf Club  - Blue",72.1,127,10.3,87,87,13.3,NA,NA,13.3,"B297"
"17","17*","19-Feb-04","24-Apr-02","Delhi  Golf Club  - Blue",72.1,127,10.3,84,84,10.6,NA,NA,10.6,"B297"
"18","18","19-Feb-04","12-Apr-02","Delhi  Golf Club  - Blue",72.1,127,10.3,87,87,13.3,NA,NA,13.3,"B297"
"19","19","19-Feb-04","03-Apr-02","Delhi  Golf Club  - Blue",72.1,127,10.3,87,87,13.3,NA,NA,13.3,"B297"
"20","20","19-Feb-04","23-Mar-02","Delhi  Golf Club  - Blue",72.1,127,10.3,86,86,12.4,NA,NA,12.4,"B297"
