"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","11-Nov-21","07-Nov-21","LODHI COURSE MEN NEW - BLUE",72.1,122,12.2,97,97,"23.1",NA,NA,"23.1","B254"
"2","2","03-Nov-21","24-Oct-21","LODHI COURSE MEN NEW - BLUE",72.1,122,12,103,102,"27.7T",NA,NA,"27.7T","B254"
"3","3","03-Nov-21","17-Oct-21","LODHI COURSE MEN NEW - BLUE",72.1,122,11.9,120,113,"37.9T",NA,NA,"37.9T","B254"
"4","4*","13-Oct-21","13-Oct-21","LODHI COURSE MEN NEW - BLUE",72.1,122,11.8,86,86,"12.9",NA,NA,"12.9","B254"
"5","5","30-Jan-21","22-Jan-21","LODHI COURSE MEN NEW - BLUE",72.1,122,11.8,87,87,"13.8",NA,NA,"13.8","B254"
"6","6","17-Oct-20","16-Oct-20","LODHI COURSE MEN NEW - BLUE",72.1,122,11.8,94,94,"20.3",NA,NA,"20.3","B254"
"7","7","07-Oct-20","01-Oct-20","LODHI COURSE MEN NEW - BLUE",72.1,122,11.8,87,87,"13.8",NA,NA,"13.8","B254"
"8","8","18-Sep-20","13-Sep-20","LODHI COURSE MEN NEW - BLUE",72.1,122,11.7,126,108,"33.3T",NA,NA,"33.3T","B254"
"9","9","05-Feb-20","23-Jan-20","LODHI COURSE MEN NEW - BLUE",72.1,122,11.7,87,87,"13.8",NA,NA,"13.8","B254"
"10","10*","02-Feb-19","09-Jan-19","Delhi Golf Course Mens-12 - Blue",72.1,127,11.7,87,87,"13.3",NA,NA,"13.3","B254"
"11","11*","27-Oct-18","11-Oct-18","Delhi Golf Course Mens-12 - Blue",72.1,127,11.7,87,87,"13.3",NA,NA,"13.3","B254"
"12","12*","30-May-18","29-May-18","Delhi Golf Course Mens-12 - Blue",72.1,127,11.7,86,86,"12.4",NA,NA,"12.4","B254"
"13","13*","26-May-18","25-May-18","Delhi Golf Course Mens-12 - Blue",72.1,127,11.7,87,87,"13.3",NA,NA,"13.3","B254"
"14","14*","20-May-18","18-May-18","Delhi Golf Course Mens-12 - Blue",72.1,127,11.7,87,87,"13.3",NA,NA,"13.3","B254"
"15","15","16-May-18","15-May-18","Delhi Golf Course Mens-12 - Blue",72.1,127,11.7,87,87,"13.3",NA,NA,"13.3","B254"
"16","16*","13-May-18","11-May-18","Delhi Golf Course Mens-12 - Blue",72.1,127,11.7,86,86,"12.4",NA,NA,"12.4","B254"
"17","17*","11-May-18","08-May-18","Delhi Golf Course Mens-12 - Blue",72.1,127,11.7,86,86,"12.4",NA,NA,"12.4","B254"
"18","18*","25-Feb-19","04-May-18","Delhi Golf Course Mens-12 - Blue",72.1,127,11.9,84,84,"10.6",NA,NA,"10.6","B254"
"19","19","18-Oct-17","18-Oct-17","Delhi Golf Course Mens-12 - Blue",72.1,127,11.9,87,87,"13.3",NA,NA,"13.3","B254"
"20","20*","15-Oct-17","11-Oct-17","Delhi Golf Course Mens-12 - Blue",72.1,127,11.9,85,85,"11.5",NA,NA,"11.5","B254"
