"","rnd","entered","played","course_tee","rating","slope","index","gross","adj","diff","m_adj","esr","n_diff","ID"
"1","1","31-Jul-22","08-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"2.4",84,83,"10.1T",NA,NA,"10.1T","C345D"
"2","2*","31-Jul-22","07-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"1.5",79,79,"6.4T",NA,NA,"6.4T","C345D"
"3","3","31-Jul-22","06-Jul-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"1.5",79,79,"6.4T",NA,NA,"6.4T","C345D"
"4","4","30-Jun-22","28-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"0.5",80,80,"7.3",NA,NA,"7.3","C345D"
"5","5","22-Jun-22","22-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"0.5",83,83,"10.1",NA,NA,"10.1","C345D"
"6","6","22-Jun-22","09-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"0.3",91,91,"17.5",NA,NA,"17.5","C345D"
"7","7","22-Jun-22","08-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"0.3",89,89,"15.7",NA,NA,"15.7","C345D"
"8","8","22-Jun-22","07-Jun-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"+0.1",85,85,"11.9",NA,NA,"11.9","C345D"
"9","9*","22-Jun-22","20-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"+0.1",73,73,"0.8",NA,NA,"0.8","C345D"
"10","10*","22-Jun-22","10-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",72,72,"-0.1",NA,NA,"-0.1","C345D"
"11","11*","22-Jun-22","05-May-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",77,77,"4.5",NA,NA,"4.5","C345D"
"12","12","22-Jun-22","26-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",79,79,"6.4",NA,NA,"6.4","C345D"
"13","13","22-Jun-22","14-Apr-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",79,79,"6.4",NA,NA,"6.4","C345D"
"14","14*","22-Jun-22","02-Mar-22","LODHI COURSE MEN NEW - BLUE",72.1,122,"N/A",73,73,"0.8",NA,NA,"0.8","C345D"
